Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712237211.8390124,-145.312,+087.652,-174.603,-00.2166,+00.2491,-00.5778,+09.825,-00.063,-00.049,-00.005592,-00.016206,+00.074278,"$VNYMR,-145.312,+087.652,-174.603,-00.2166,+00.2491,-00.5778,+09.825,-00.063,-00.049,-00.005592,-00.016206,+00.074278*6F
"
1712237211.866318,-147.801,+087.678,-177.100,-00.2157,+00.2361,-00.5709,+09.635,-00.225,-00.210,-00.008487,-00.003754,+00.066639,"$VNYMR,-147.801,+087.678,-177.100,-00.2157,+00.2361,-00.5709,+09.635,-00.225,-00.210,-00.008487,-00.003754,+00.066639*6A
"
1712237211.8887358,-149.916,+087.664,-179.224,-00.2135,+00.2360,-00.5601,+09.589,-00.300,-00.334,-00.007207,+00.019694,+00.050890,"$VNYMR,-149.916,+087.664,-179.224,-00.2135,+00.2360,-00.5601,+09.589,-00.300,-00.334,-00.007207,+00.019694,+00.050890*65
"
1712237211.916598,-151.344,+087.613,+179.337,-00.2134,+00.2396,-00.5735,+09.557,-00.226,-00.246,-00.009004,+00.048240,+00.033744,"$VNYMR,-151.344,+087.613,+179.337,-00.2134,+00.2396,-00.5735,+09.557,-00.226,-00.246,-00.009004,+00.048240,+00.033744*6D
"
1712237211.9443703,-152.235,+087.532,+178.434,-00.2157,+00.2373,-00.5656,+09.755,-00.108,-00.123,-00.009210,+00.063495,+00.023648,"$VNYMR,-152.235,+087.532,+178.434,-00.2157,+00.2373,-00.5656,+09.755,-00.108,-00.123,-00.009210,+00.063495,+00.023648*65
"
1712237211.964846,-152.957,+087.437,+177.700,-00.2166,+00.2479,-00.5671,+09.890,+00.110,+00.121,-00.009967,+00.066640,+00.026322,"$VNYMR,-152.957,+087.437,+177.700,-00.2166,+00.2479,-00.5671,+09.890,+00.110,+00.121,-00.009967,+00.066640,+00.026322*6A
"
1712237211.9908442,-153.943,+087.351,+176.701,-00.2132,+00.2502,-00.5723,+09.963,+00.217,+00.377,-00.009775,+00.051624,+00.040960,"$VNYMR,-153.943,+087.351,+176.701,-00.2132,+00.2502,-00.5723,+09.963,+00.217,+00.377,-00.009775,+00.051624,+00.040960*6C
"
1712237212.0140874,-155.419,+087.290,+175.214,-00.2145,+00.2396,-00.5749,+10.025,+00.256,+00.531,-00.007796,+00.024408,+00.058882,"$VNYMR,-155.419,+087.290,+175.214,-00.2145,+00.2396,-00.5749,+10.025,+00.256,+00.531,-00.007796,+00.024408,+00.058882*6A
"
1712237212.0390284,-157.486,+087.279,+173.138,-00.2168,+00.2361,-00.5656,+10.078,+00.154,+00.610,-00.006900,-00.014104,+00.075561,"$VNYMR,-157.486,+087.279,+173.138,-00.2168,+00.2361,-00.5656,+10.078,+00.154,+00.610,-00.006900,-00.014104,+00.075561*60
"
1712237212.0642695,-159.978,+087.310,+170.641,-00.2156,+00.2444,-00.5763,+10.045,-00.037,+00.581,-00.004105,-00.048158,+00.078852,"$VNYMR,-159.978,+087.310,+170.641,-00.2156,+00.2444,-00.5763,+10.045,-00.037,+00.581,-00.004105,-00.048158,+00.078852*64
"
1712237212.0911045,-162.662,+087.381,+167.957,-00.2145,+00.2408,-00.5669,+09.928,-00.212,+00.364,-00.001786,-00.076823,+00.071738,"$VNYMR,-162.662,+087.381,+167.957,-00.2145,+00.2408,-00.5669,+09.928,-00.212,+00.364,-00.001786,-00.076823,+00.071738*67
"
1712237212.1140687,-165.210,+087.479,+165.413,-00.2154,+00.2514,-00.5684,+09.868,-00.356,+00.163,+00.001251,-00.087466,+00.051829,"$VNYMR,-165.210,+087.479,+165.413,-00.2154,+00.2514,-00.5684,+09.868,-00.356,+00.163,+00.001251,-00.087466,+00.051829*67
"
1712237212.1387906,-167.259,+087.588,+163.369,-00.2143,+00.2502,-00.5724,+09.724,-00.327,-00.091,+00.002979,-00.084690,+00.028062,"$VNYMR,-167.259,+087.588,+163.369,-00.2143,+00.2502,-00.5724,+09.724,-00.327,-00.091,+00.002979,-00.084690,+00.028062*69
"
1712237212.1640942,-168.712,+087.688,+161.923,-00.2145,+00.2420,-00.5723,+09.624,-00.219,-00.202,+00.003210,-00.072798,+00.012800,"$VNYMR,-168.712,+087.688,+161.923,-00.2145,+00.2420,-00.5723,+09.624,-00.219,-00.202,+00.003210,-00.072798,+00.012800*6C
"
1712237212.1890564,-169.692,+087.765,+160.947,-00.2165,+00.2503,-00.5591,+09.635,-00.020,-00.262,+00.001877,-00.049156,+00.006930,"$VNYMR,-169.692,+087.765,+160.947,-00.2165,+00.2503,-00.5591,+09.635,-00.020,-00.262,+00.001877,-00.049156,+00.006930*60
"
1712237212.2140946,-170.579,+087.811,+160.062,-00.2155,+00.2479,-00.5710,+09.658,+00.186,-00.188,-00.000331,-00.028120,+00.017265,"$VNYMR,-170.579,+087.811,+160.062,-00.2155,+00.2479,-00.5710,+09.658,+00.186,-00.188,-00.000331,-00.028120,+00.017265*6C
"
1712237212.241165,-171.879,+087.826,+158.760,-00.2176,+00.2527,-00.5672,+09.791,+00.282,-00.006,-00.003795,-00.016443,+00.037229,"$VNYMR,-171.879,+087.826,+158.760,-00.2176,+00.2527,-00.5672,+09.791,+00.282,-00.006,-00.003795,-00.016443,+00.037229*6E
"
1712237212.2668145,-173.889,+087.823,+156.744,-00.2176,+00.2550,-00.5659,+09.871,+00.262,+00.141,-00.004706,-00.019801,+00.058554,"$VNYMR,-173.889,+087.823,+156.744,-00.2176,+00.2550,-00.5659,+09.871,+00.262,+00.141,-00.004706,-00.019801,+00.058554*60
"
1712237212.2890382,-176.576,+087.813,+154.052,-00.2143,+00.2526,-00.5710,+09.946,+00.054,+00.328,-00.005249,-00.030224,+00.072512,"$VNYMR,-176.576,+087.813,+154.052,-00.2143,+00.2526,-00.5710,+09.946,+00.054,+00.328,-00.005249,-00.030224,+00.072512*6E
"
1712237212.3140266,-179.745,+087.824,+150.880,-00.2143,+00.2538,-00.5711,+10.040,-00.183,+00.444,-00.001756,-00.055381,+00.069999,"$VNYMR,-179.745,+087.824,+150.880,-00.2143,+00.2538,-00.5711,+10.040,-00.183,+00.444,-00.001756,-00.055381,+00.069999*6A
"
