Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712237557.785117,-039.418,+084.533,-107.968,-00.2361,+00.2139,-00.4329,+09.792,+00.802,+00.241,-00.001657,+00.017031,+00.002096,"$VNYMR,-039.418,+084.533,-107.968,-00.2361,+00.2139,-00.4329,+09.792,+00.802,+00.241,-00.001657,+00.017031,+00.002096*60
"
1712237557.812596,-039.655,+084.531,-108.202,-00.2361,+00.2128,-00.4436,+09.816,+00.801,+00.236,-00.000905,+00.016544,+00.001727,"$VNYMR,-039.655,+084.531,-108.202,-00.2361,+00.2128,-00.4436,+09.816,+00.801,+00.236,-00.000905,+00.016544,+00.001727*69
"
1712237557.8384557,-039.917,+084.528,-108.462,-00.2372,+00.2140,-00.4383,+09.672,+00.789,+00.274,-00.000983,+00.016460,+00.001486,"$VNYMR,-039.917,+084.528,-108.462,-00.2372,+00.2140,-00.4383,+09.672,+00.789,+00.274,-00.000983,+00.016460,+00.001486*69
"
1712237557.8628454,-040.130,+084.527,-108.672,-00.2326,+00.2257,-00.4422,+09.875,+00.839,+00.216,-00.000845,+00.015020,+00.002830,"$VNYMR,-040.130,+084.527,-108.672,-00.2326,+00.2257,-00.4422,+09.875,+00.839,+00.216,-00.000845,+00.015020,+00.002830*6D
"
1712237557.885346,-040.378,+084.530,-108.914,-00.2348,+00.2246,-00.4437,+09.757,+00.840,+00.244,-00.000921,+00.015177,+00.007312,"$VNYMR,-040.378,+084.530,-108.914,-00.2348,+00.2246,-00.4437,+09.757,+00.840,+00.244,-00.000921,+00.015177,+00.007312*6E
"
1712237557.910323,-040.603,+084.540,-109.137,-00.2361,+00.2140,-00.4449,+09.740,+00.845,+00.237,+00.000225,+00.013677,+00.011941,"$VNYMR,-040.603,+084.540,-109.137,-00.2361,+00.2140,-00.4449,+09.740,+00.845,+00.237,+00.000225,+00.013677,+00.011941*6B
"
1712237557.9352453,-040.909,+084.556,-109.437,-00.2361,+00.2163,-00.4396,+09.790,+00.870,+00.233,-00.000316,+00.014941,+00.018438,"$VNYMR,-040.909,+084.556,-109.437,-00.2361,+00.2163,-00.4396,+09.790,+00.870,+00.233,-00.000316,+00.014941,+00.018438*67
"
1712237557.9599254,-041.224,+084.578,-109.750,-00.2316,+00.2174,-00.4461,+09.834,+00.827,+00.242,-00.001846,+00.011965,+00.021700,"$VNYMR,-041.224,+084.578,-109.750,-00.2316,+00.2174,-00.4461,+09.834,+00.827,+00.242,-00.001846,+00.011965,+00.021700*6E
"
1712237557.9879284,-041.493,+084.605,-110.016,-00.2348,+00.2269,-00.4424,+09.725,+00.801,+00.236,-00.000265,+00.010285,+00.023207,"$VNYMR,-041.493,+084.605,-110.016,-00.2348,+00.2269,-00.4424,+09.725,+00.801,+00.236,-00.000265,+00.010285,+00.023207*63
"
1712237558.0134902,-041.729,+084.634,-110.249,-00.2336,+00.2281,-00.4476,+09.828,+00.777,+00.206,+00.001095,+00.008144,+00.022560,"$VNYMR,-041.729,+084.634,-110.249,-00.2336,+00.2281,-00.4476,+09.828,+00.777,+00.206,+00.001095,+00.008144,+00.022560*66
"
1712237558.034788,-041.971,+084.662,-110.483,-00.2313,+00.2316,-00.4489,+09.750,+00.766,+00.223,+00.001032,+00.008134,+00.021789,"$VNYMR,-041.971,+084.662,-110.483,-00.2313,+00.2316,-00.4489,+09.750,+00.766,+00.223,+00.001032,+00.008134,+00.021789*65
"
1712237558.059987,-042.202,+084.686,-110.708,-00.2306,+00.2150,-00.4447,+09.853,+00.790,+00.303,+00.002319,+00.006339,+00.017564,"$VNYMR,-042.202,+084.686,-110.708,-00.2306,+00.2150,-00.4447,+09.853,+00.790,+00.303,+00.002319,+00.006339,+00.017564*6F
"
1712237558.0849576,-042.368,+084.712,-110.865,-00.2360,+00.2187,-00.4316,+09.847,+00.805,+00.264,+00.002762,+00.002549,+00.019026,"$VNYMR,-042.368,+084.712,-110.865,-00.2360,+00.2187,-00.4316,+09.847,+00.805,+00.264,+00.002762,+00.002549,+00.019026*65
"
1712237558.11031,-042.525,+084.738,-111.014,-00.2316,+00.2162,-00.4474,+09.761,+00.831,+00.270,+00.002930,-00.000071,+00.020595,"$VNYMR,-042.525,+084.738,-111.014,-00.2316,+00.2162,-00.4474,+09.761,+00.831,+00.270,+00.002930,-00.000071,+00.020595*69
"
1712237558.1353292,-042.637,+084.769,-111.120,-00.2349,+00.2175,-00.4422,+09.829,+00.829,+00.276,+00.003334,+00.000040,+00.022833,"$VNYMR,-042.637,+084.769,-111.120,-00.2349,+00.2175,-00.4422,+09.829,+00.829,+00.276,+00.003334,+00.000040,+00.022833*60
"
