Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712236992.4614377,-073.440,+088.600,-123.502,-00.2145,+00.2443,-00.4629,+09.792,+00.275,+00.027,+00.002661,+00.009390,-00.005468,"$VNYMR,-073.440,+088.600,-123.502,-00.2145,+00.2443,-00.4629,+09.792,+00.275,+00.027,+00.002661,+00.009390,-00.005468*68
"
1712236992.4862437,-073.831,+088.590,-123.887,-00.2188,+00.2503,-00.4511,+09.796,+00.333,+00.056,+00.002209,+00.011548,+00.004262,"$VNYMR,-073.831,+088.590,-123.887,-00.2188,+00.2503,-00.4511,+09.796,+00.333,+00.056,+00.002209,+00.011548,+00.004262*6E
"
1712236992.5119517,-074.646,+088.589,-124.697,-00.2196,+00.2645,-00.4580,+09.812,+00.319,+00.071,+00.000596,+00.014248,+00.012529,"$VNYMR,-074.646,+088.589,-124.697,-00.2196,+00.2645,-00.4580,+09.812,+00.319,+00.071,+00.000596,+00.014248,+00.012529*61
"
1712236992.5364094,-075.906,+088.599,-125.952,-00.2142,+00.2597,-00.4657,+09.791,+00.249,+00.108,+00.000874,+00.010695,+00.021636,"$VNYMR,-075.906,+088.599,-125.952,-00.2142,+00.2597,-00.4657,+09.791,+00.249,+00.108,+00.000874,+00.010695,+00.021636*62
"
1712236992.5613089,-077.391,+088.614,-127.434,-00.2154,+00.2502,-00.4657,+09.829,+00.160,+00.076,+00.001217,+00.016208,+00.023597,"$VNYMR,-077.391,+088.614,-127.434,-00.2154,+00.2502,-00.4657,+09.829,+00.160,+00.076,+00.001217,+00.016208,+00.023597*68
"
1712236992.586429,-078.819,+088.630,-128.861,-00.2166,+00.2491,-00.4483,+09.783,+00.065,+00.092,+00.002135,+00.009873,+00.020498,"$VNYMR,-078.819,+088.630,-128.861,-00.2166,+00.2491,-00.4483,+09.783,+00.065,+00.092,+00.002135,+00.009873,+00.020498*6C
"
1712236992.6136317,-079.931,+088.639,-129.969,-00.2133,+00.2478,-00.4615,+09.822,+00.072,+00.168,+00.003311,+00.010126,+00.010989,"$VNYMR,-079.931,+088.639,-129.969,-00.2133,+00.2478,-00.4615,+09.822,+00.072,+00.168,+00.003311,+00.010126,+00.010989*61
"
1712236992.6365008,-080.522,+088.642,-130.555,-00.2143,+00.2502,-00.4589,+09.795,+00.051,+00.154,+00.003709,+00.007829,+00.001503,"$VNYMR,-080.522,+088.642,-130.555,-00.2143,+00.2502,-00.4589,+09.795,+00.051,+00.154,+00.003709,+00.007829,+00.001503*6D
"
1712236992.6615958,-080.732,+088.638,-130.757,-00.2163,+00.2656,-00.4579,+09.835,+00.110,+00.115,+00.003867,+00.000989,-00.004186,"$VNYMR,-080.732,+088.638,-130.757,-00.2163,+00.2656,-00.4579,+09.835,+00.110,+00.115,+00.003867,+00.000989,-00.004186*69
"
1712236992.6891384,-080.408,+088.637,-130.425,-00.2164,+00.2573,-00.4645,+09.839,+00.213,+00.134,+00.005465,-00.000076,-00.004417,"$VNYMR,-080.408,+088.637,-130.425,-00.2164,+00.2573,-00.4645,+09.839,+00.213,+00.134,+00.005465,-00.000076,-00.004417*60
"
1712236992.7145267,-080.123,+088.635,-130.129,-00.2122,+00.2478,-00.4614,+09.804,+00.298,+00.143,+00.005405,-00.003468,+00.000431,"$VNYMR,-080.123,+088.635,-130.129,-00.2122,+00.2478,-00.4614,+09.804,+00.298,+00.143,+00.005405,-00.003468,+00.000431*6E
"
1712236992.7365396,-080.018,+088.642,-130.014,-00.2165,+00.2538,-00.4524,+09.812,+00.311,+00.110,+00.005564,-00.005480,+00.009212,"$VNYMR,-080.018,+088.642,-130.014,-00.2165,+00.2538,-00.4524,+09.812,+00.311,+00.110,+00.005564,-00.005480,+00.009212*67
"
1712236992.7613056,-080.171,+088.661,-130.160,-00.2133,+00.2478,-00.4655,+09.812,+00.267,+00.033,+00.003902,-00.008635,+00.018191,"$VNYMR,-080.171,+088.661,-130.160,-00.2133,+00.2478,-00.4655,+09.812,+00.267,+00.033,+00.003902,-00.008635,+00.018191*6A
"
1712236992.7866344,-080.783,+088.687,-130.766,-00.2152,+00.2609,-00.4564,+09.788,+00.187,+00.059,+00.003966,-00.000940,+00.021890,"$VNYMR,-080.783,+088.687,-130.766,-00.2152,+00.2609,-00.4564,+09.788,+00.187,+00.059,+00.003966,-00.000940,+00.021890*63
"
1712236992.8141782,-081.558,+088.714,-131.536,-00.2152,+00.2620,-00.4604,+09.764,+00.099,+00.062,+00.003444,+00.000543,+00.022373,"$VNYMR,-081.558,+088.714,-131.536,-00.2152,+00.2620,-00.4604,+09.764,+00.099,+00.062,+00.003444,+00.000543,+00.022373*60
"
1712236992.8362834,-082.434,+088.734,-132.407,-00.2153,+00.2585,-00.4657,+09.794,+00.073,+00.042,+00.003418,+00.004684,+00.015543,"$VNYMR,-082.434,+088.734,-132.407,-00.2153,+00.2585,-00.4657,+09.794,+00.073,+00.042,+00.003418,+00.004684,+00.015543*6C
"
1712236992.8617368,-083.194,+088.743,-133.163,-00.2131,+00.2573,-00.4656,+09.791,+00.049,+00.094,+00.004116,+00.005493,+00.006835,"$VNYMR,-083.194,+088.743,-133.163,-00.2131,+00.2573,-00.4656,+09.791,+00.049,+00.094,+00.004116,+00.005493,+00.006835*68
"
1712236992.8865867,-083.644,+088.744,-133.608,-00.2154,+00.2526,-00.4510,+09.829,+00.094,+00.155,+00.003349,+00.006460,-00.000070,"$VNYMR,-083.644,+088.744,-133.608,-00.2154,+00.2526,-00.4510,+09.829,+00.094,+00.155,+00.003349,+00.006460,-00.000070*64
"
1712236992.91185,-083.607,+088.742,-133.564,-00.2133,+00.2478,-00.4588,+09.888,+00.171,+00.161,+00.004805,+00.001838,-00.003945,"$VNYMR,-083.607,+088.742,-133.564,-00.2133,+00.2478,-00.4588,+09.888,+00.171,+00.161,+00.004805,+00.001838,-00.003945*6E
"
1712236992.9386418,-083.410,+088.738,-133.360,-00.2165,+00.2514,-00.4577,+09.816,+00.223,+00.194,+00.003932,-00.004943,-00.002006,"$VNYMR,-083.410,+088.738,-133.360,-00.2165,+00.2514,-00.4577,+09.816,+00.223,+00.194,+00.003932,-00.004943,-00.002006*67
"
1712236992.9637141,-082.952,+088.745,-132.893,-00.2153,+00.2585,-00.4591,+09.879,+00.262,+00.165,+00.005723,-00.012862,+00.004299,"$VNYMR,-082.952,+088.745,-132.893,-00.2153,+00.2585,-00.4591,+09.879,+00.262,+00.165,+00.005723,-00.012862,+00.004299*6F
"
1712236992.9864924,-082.553,+088.764,-132.486,-00.2130,+00.2596,-00.4616,+09.818,+00.259,+00.159,+00.004045,-00.017864,+00.011604,"$VNYMR,-082.553,+088.764,-132.486,-00.2130,+00.2596,-00.4616,+09.818,+00.259,+00.159,+00.004045,-00.017864,+00.011604*63
"
1712236993.014849,-082.103,+088.796,-132.030,-00.2133,+00.2490,-00.4615,+09.829,+00.192,+00.052,+00.004422,-00.017371,+00.015471,"$VNYMR,-082.103,+088.796,-132.030,-00.2133,+00.2490,-00.4615,+09.829,+00.192,+00.052,+00.004422,-00.017371,+00.015471*63
"
1712236993.0365896,-081.707,+088.833,-131.629,-00.2142,+00.2549,-00.4576,+09.790,+00.151,+00.038,+00.003691,-00.018042,+00.016622,"$VNYMR,-081.707,+088.833,-131.629,-00.2142,+00.2549,-00.4576,+09.790,+00.151,+00.038,+00.003691,-00.018042,+00.016622*62
"
1712236993.0633547,-081.512,+088.867,-131.430,-00.2152,+00.2609,-00.4618,+09.780,+00.090,+00.017,+00.003599,-00.013922,+00.012742,"$VNYMR,-081.512,+088.867,-131.430,-00.2152,+00.2609,-00.4618,+09.780,+00.090,+00.017,+00.003599,-00.013922,+00.012742*6E
"
1712236993.0861993,-081.287,+088.891,-131.201,-00.2154,+00.2514,-00.4563,+09.757,+00.039,+00.006,+00.002826,-00.009864,+00.005260,"$VNYMR,-081.287,+088.891,-131.201,-00.2154,+00.2514,-00.4563,+09.757,+00.039,+00.006,+00.002826,-00.009864,+00.005260*64
"
