Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712237351.7254128,-090.562,+089.642,-160.712,-00.2053,+00.2607,-00.4132,+09.871,-00.019,+00.136,+00.007995,-00.118950,-00.021846,"$VNYMR,-090.562,+089.642,-160.712,-00.2053,+00.2607,-00.4132,+09.871,-00.019,+00.136,+00.007995,-00.118950,-00.021846*65
"
1712237351.752639,-067.059,+089.781,-137.193,-00.2054,+00.2559,-00.4025,+09.858,-00.038,+00.121,+00.007173,-00.122355,-00.024405,"$VNYMR,-067.059,+089.781,-137.193,-00.2054,+00.2559,-00.4025,+09.858,-00.038,+00.121,+00.007173,-00.122355,-00.024405*6D
"
1712237351.7790945,-013.732,+089.818,-083.856,-00.2052,+00.2618,-00.4039,+09.828,-00.052,+00.075,+00.007473,-00.127445,-00.024738,"$VNYMR,-013.732,+089.818,-083.856,-00.2052,+00.2618,-00.4039,+09.828,-00.052,+00.075,+00.007473,-00.127445,-00.024738*68
"
1712237351.8006663,+023.735,+089.707,-046.376,-00.2042,+00.2559,-00.4078,+09.817,-00.028,+00.035,+00.006462,-00.128289,-00.023449,"$VNYMR,+023.735,+089.707,-046.376,-00.2042,+00.2559,-00.4078,+09.817,-00.028,+00.035,+00.006462,-00.128289,-00.023449*66
"
1712237351.8253732,+037.775,+089.539,-032.324,-00.2054,+00.2512,-00.4064,+09.778,-00.019,-00.034,+00.005147,-00.128064,-00.023526,"$VNYMR,+037.775,+089.539,-032.324,-00.2054,+00.2512,-00.4064,+09.778,-00.019,-00.034,+00.005147,-00.128064,-00.023526*62
"
1712237351.8523185,+044.072,+089.368,-026.018,-00.2075,+00.2595,-00.3946,+09.794,+00.001,-00.051,+00.004742,-00.121290,-00.021596,"$VNYMR,+044.072,+089.368,-026.018,-00.2075,+00.2595,-00.3946,+09.794,+00.001,-00.051,+00.004742,-00.121290,-00.021596*6A
"
1712237351.8768342,+047.426,+089.204,-022.657,-00.2055,+00.2488,-00.4064,+09.761,+00.007,-00.076,+00.003369,-00.113971,-00.020636,"$VNYMR,+047.426,+089.204,-022.657,-00.2055,+00.2488,-00.4064,+09.761,+00.007,-00.076,+00.003369,-00.113971,-00.020636*61
"
1712237351.9006438,+049.709,+089.047,-020.369,-00.2064,+00.2583,-00.3959,+09.761,+00.027,-00.100,+00.001858,-00.108711,-00.018260,"$VNYMR,+049.709,+089.047,-020.369,-00.2064,+00.2583,-00.3959,+09.761,+00.027,-00.100,+00.001858,-00.108711,-00.018260*61
"
1712237351.9266143,+051.232,+088.902,-018.846,-00.2075,+00.2619,-00.4013,+09.782,+00.004,-00.077,+00.001019,-00.101776,-00.015712,"$VNYMR,+051.232,+088.902,-018.846,-00.2075,+00.2619,-00.4013,+09.782,+00.004,-00.077,+00.001019,-00.101776,-00.015712*64
"
1712237351.951708,+052.480,+088.764,-017.596,-00.2064,+00.2571,-00.3999,+09.804,-00.020,-00.042,-00.000190,-00.095710,-00.013006,"$VNYMR,+052.480,+088.764,-017.596,-00.2064,+00.2571,-00.3999,+09.804,-00.020,-00.042,-00.000190,-00.095710,-00.013006*60
"
