Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712236733.0717828,-091.738,+086.368,-113.998,-00.2284,+00.2103,-00.5833,+09.791,+00.551,+00.259,+00.000539,+00.004568,+00.000440,"$VNYMR,-091.738,+086.368,-113.998,-00.2284,+00.2103,-00.5833,+09.791,+00.551,+00.259,+00.000539,+00.004568,+00.000440*6A
"
1712236733.093595,-091.876,+086.365,-114.136,-00.2308,+00.2033,-00.5740,+09.816,+00.570,+00.274,-00.000293,+00.006281,-00.000286,"$VNYMR,-091.876,+086.365,-114.136,-00.2308,+00.2033,-00.5740,+09.816,+00.570,+00.274,-00.000293,+00.006281,-00.000286*60
"
1712236733.1212025,-091.976,+086.361,-114.241,-00.2287,+00.1985,-00.5912,+09.759,+00.560,+00.280,-00.001302,+00.002114,-00.000117,"$VNYMR,-091.976,+086.361,-114.241,-00.2287,+00.1985,-00.5912,+09.759,+00.560,+00.280,-00.001302,+00.002114,-00.000117*68
"
1712236733.1436508,-092.040,+086.360,-114.304,-00.2320,+00.1997,-00.5767,+09.825,+00.576,+00.241,+00.000741,+00.001796,-00.000447,"$VNYMR,-092.040,+086.360,-114.304,-00.2320,+00.1997,-00.5767,+09.825,+00.576,+00.241,+00.000741,+00.001796,-00.000447*60
"
1712236733.1686113,-092.110,+086.359,-114.373,-00.2305,+00.2163,-00.5875,+09.820,+00.569,+00.260,+00.000275,+00.000931,+00.000649,"$VNYMR,-092.110,+086.359,-114.373,-00.2305,+00.2163,-00.5875,+09.820,+00.569,+00.260,+00.000275,+00.000931,+00.000649*67
"
1712236733.1934628,-092.205,+086.357,-114.471,-00.2241,+00.2031,-00.5910,+09.799,+00.559,+00.308,+00.000564,+00.002516,+00.000918,"$VNYMR,-092.205,+086.357,-114.471,-00.2241,+00.2031,-00.5910,+09.799,+00.559,+00.308,+00.000564,+00.002516,+00.000918*68
"
1712236733.218489,-092.237,+086.358,-114.503,-00.2275,+00.2020,-00.5858,+09.814,+00.571,+00.256,+00.000991,+00.001394,+00.001913,"$VNYMR,-092.237,+086.358,-114.503,-00.2275,+00.2020,-00.5858,+09.814,+00.571,+00.256,+00.000991,+00.001394,+00.001913*61
"
1712236733.2438507,-092.318,+086.358,-114.584,-00.2297,+00.2009,-00.5739,+09.772,+00.550,+00.280,-00.000210,+00.004299,+00.002726,"$VNYMR,-092.318,+086.358,-114.584,-00.2297,+00.2009,-00.5739,+09.772,+00.550,+00.280,-00.000210,+00.004299,+00.002726*6C
"
1712236733.2686114,-092.382,+086.359,-114.648,-00.2296,+00.2056,-00.5820,+09.836,+00.562,+00.243,+00.000445,+00.004615,+00.000133,"$VNYMR,-092.382,+086.359,-114.648,-00.2296,+00.2056,-00.5820,+09.836,+00.562,+00.243,+00.000445,+00.004615,+00.000133*60
"
1712236733.2934153,-092.496,+086.359,-114.762,-00.2308,+00.2021,-00.5766,+09.739,+00.567,+00.268,-00.000429,+00.005657,+00.001255,"$VNYMR,-092.496,+086.359,-114.762,-00.2308,+00.2021,-00.5766,+09.739,+00.567,+00.268,-00.000429,+00.005657,+00.001255*65
"
1712236733.3209207,-092.627,+086.355,-114.894,-00.2294,+00.2174,-00.5794,+09.818,+00.535,+00.245,+00.000207,+00.005545,-00.000700,"$VNYMR,-092.627,+086.355,-114.894,-00.2294,+00.2174,-00.5794,+09.818,+00.535,+00.245,+00.000207,+00.005545,-00.000700*65
"
1712236733.3461878,-092.765,+086.351,-115.032,-00.2274,+00.2067,-00.5899,+09.751,+00.545,+00.281,-00.000724,+00.005526,+00.000152,"$VNYMR,-092.765,+086.351,-115.032,-00.2274,+00.2067,-00.5899,+09.751,+00.545,+00.281,-00.000724,+00.005526,+00.000152*61
"
1712236733.3685982,-092.879,+086.349,-115.147,-00.2274,+00.2056,-00.5845,+09.815,+00.557,+00.256,-00.001160,+00.004946,-00.000447,"$VNYMR,-092.879,+086.349,-115.147,-00.2274,+00.2056,-00.5845,+09.815,+00.557,+00.256,-00.001160,+00.004946,-00.000447*67
"
1712236733.3955505,-092.949,+086.346,-115.218,-00.2298,+00.1985,-00.5685,+09.789,+00.560,+00.292,-00.000593,+00.002892,+00.000770,"$VNYMR,-092.949,+086.346,-115.218,-00.2298,+00.1985,-00.5685,+09.789,+00.560,+00.292,-00.000593,+00.002892,+00.000770*67
"
1712236733.4184062,-093.026,+086.345,-115.295,-00.2287,+00.1973,-00.5858,+09.806,+00.544,+00.239,+00.000051,+00.001480,+00.000289,"$VNYMR,-093.026,+086.345,-115.295,-00.2287,+00.1973,-00.5858,+09.806,+00.544,+00.239,+00.000051,+00.001480,+00.000289*64
"
1712236733.4436824,-093.076,+086.344,-115.347,-00.2275,+00.1996,-00.5818,+09.815,+00.580,+00.252,-00.000568,+00.001901,+00.001425,"$VNYMR,-093.076,+086.344,-115.347,-00.2275,+00.1996,-00.5818,+09.815,+00.580,+00.252,-00.000568,+00.001901,+00.001425*67
"
1712236733.469964,-093.115,+086.346,-115.388,-00.2306,+00.2127,-00.5794,+09.805,+00.563,+00.298,-00.000154,+00.000680,+00.003469,"$VNYMR,-093.115,+086.346,-115.388,-00.2306,+00.2127,-00.5794,+09.805,+00.563,+00.298,-00.000154,+00.000680,+00.003469*61
"
1712236733.4936612,-093.180,+086.348,-115.454,-00.2296,+00.2091,-00.5873,+09.768,+00.571,+00.272,-00.001386,+00.002729,+00.002674,"$VNYMR,-093.180,+086.348,-115.454,-00.2296,+00.2091,-00.5873,+09.768,+00.571,+00.272,-00.001386,+00.002729,+00.002674*67
"
