Timestamp,Yaw,Pitch,Roll,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Original String
1712236681.3727365,-089.132,+086.252,-112.092,-00.2308,+00.2009,-00.5673,+09.795,+00.565,+00.284,+00.000920,+00.001465,-00.001820,"$VNYMR,-089.132,+086.252,-112.092,-00.2308,+00.2009,-00.5673,+09.795,+00.565,+00.284,+00.000920,+00.001465,-00.001820*62
"
1712236681.395549,-089.177,+086.249,-112.137,-00.2276,+00.1949,-00.5831,+09.798,+00.578,+00.268,+00.000062,+00.001332,-00.000709,"$VNYMR,-089.177,+086.249,-112.137,-00.2276,+00.1949,-00.5831,+09.798,+00.578,+00.268,+00.000062,+00.001332,-00.000709*65
"
1712236681.4207644,-089.207,+086.248,-112.164,-00.2319,+00.2009,-00.5740,+09.786,+00.553,+00.275,+00.000316,+00.001953,-00.000993,"$VNYMR,-089.207,+086.248,-112.164,-00.2319,+00.2009,-00.5740,+09.786,+00.553,+00.275,+00.000316,+00.001953,-00.000993*63
"
1712236681.4474666,-089.299,+086.246,-112.255,-00.2351,+00.2081,-00.5729,+09.755,+00.565,+00.298,+00.000978,+00.003315,-00.001106,"$VNYMR,-089.299,+086.246,-112.255,-00.2351,+00.2081,-00.5729,+09.755,+00.565,+00.298,+00.000978,+00.003315,-00.001106*6D
"
1712236681.4710045,-089.377,+086.245,-112.334,-00.2285,+00.2079,-00.5873,+09.776,+00.548,+00.248,+00.000806,+00.005122,+00.000276,"$VNYMR,-089.377,+086.245,-112.334,-00.2285,+00.2079,-00.5873,+09.776,+00.548,+00.248,+00.000806,+00.005122,+00.000276*6E
"
1712236681.4964497,-089.499,+086.245,-112.454,-00.2308,+00.2033,-00.5820,+09.807,+00.575,+00.257,+00.000618,+00.006223,+00.001649,"$VNYMR,-089.499,+086.245,-112.454,-00.2308,+00.2033,-00.5820,+09.807,+00.575,+00.257,+00.000618,+00.006223,+00.001649*64
"
1712236681.5206928,-089.637,+086.243,-112.593,-00.2318,+00.2080,-00.5727,+09.783,+00.575,+00.278,+00.000545,+00.006760,+00.001532,"$VNYMR,-089.637,+086.243,-112.593,-00.2318,+00.2080,-00.5727,+09.783,+00.575,+00.278,+00.000545,+00.006760,+00.001532*67
"
1712236681.5467741,-089.803,+086.243,-112.760,-00.2320,+00.1974,-00.5886,+09.786,+00.563,+00.288,+00.001159,+00.007633,+00.002743,"$VNYMR,-089.803,+086.243,-112.760,-00.2320,+00.1974,-00.5886,+09.786,+00.563,+00.288,+00.001159,+00.007633,+00.002743*6A
"
1712236681.5704648,-090.011,+086.243,-112.963,-00.2341,+00.2033,-00.5741,+09.804,+00.581,+00.289,+00.000232,+00.006433,+00.003033,"$VNYMR,-090.011,+086.243,-112.963,-00.2341,+00.2033,-00.5741,+09.804,+00.581,+00.289,+00.000232,+00.006433,+00.003033*6B
"
1712236681.5964541,-090.202,+086.243,-113.152,-00.2306,+00.2115,-00.5781,+09.773,+00.580,+00.279,+00.001009,+00.007232,+00.002833,"$VNYMR,-090.202,+086.243,-113.152,-00.2306,+00.2115,-00.5781,+09.773,+00.580,+00.279,+00.001009,+00.007232,+00.002833*6F
"
1712236681.6214764,-090.406,+086.244,-113.353,-00.2307,+00.2056,-00.5833,+09.810,+00.570,+00.286,+00.001378,+00.006662,+00.002728,"$VNYMR,-090.406,+086.244,-113.353,-00.2307,+00.2056,-00.5833,+09.810,+00.570,+00.286,+00.001378,+00.006662,+00.002728*6D
"
1712236681.6458554,-090.635,+086.245,-113.584,-00.2296,+00.2056,-00.5846,+09.791,+00.551,+00.243,+00.001431,+00.008608,+00.004765,"$VNYMR,-090.635,+086.245,-113.584,-00.2296,+00.2056,-00.5846,+09.791,+00.551,+00.243,+00.001431,+00.008608,+00.004765*62
"
1712236681.6731749,-090.833,+086.250,-113.778,-00.2319,+00.2045,-00.5687,+09.793,+00.566,+00.294,+00.000711,+00.007330,+00.005683,"$VNYMR,-090.833,+086.250,-113.778,-00.2319,+00.2045,-00.5687,+09.793,+00.566,+00.294,+00.000711,+00.007330,+00.005683*6D
"
1712236681.707397,-091.083,+086.253,-114.024,-00.2330,+00.2009,-00.5781,+09.795,+00.572,+00.244,+00.001087,+00.007262,+00.006481,"$VNYMR,-091.083,+086.253,-114.024,-00.2330,+00.2009,-00.5781,+09.795,+00.572,+00.244,+00.001087,+00.007262,+00.006481*63
"
1712236681.7204018,-091.312,+086.258,-114.250,-00.2320,+00.1985,-00.5753,+09.746,+00.581,+00.262,+00.000046,+00.009637,+00.006933,"$VNYMR,-091.312,+086.258,-114.250,-00.2320,+00.1985,-00.5753,+09.746,+00.581,+00.262,+00.000046,+00.009637,+00.006933*66
"
1712236681.7466025,-091.587,+086.262,-114.522,-00.2305,+00.2186,-00.5821,+09.826,+00.569,+00.259,+00.000111,+00.009252,+00.006925,"$VNYMR,-091.587,+086.262,-114.522,-00.2305,+00.2186,-00.5821,+09.826,+00.569,+00.259,+00.000111,+00.009252,+00.006925*66
"
1712236681.7712955,-091.853,+086.265,-114.787,-00.2307,+00.2080,-00.5820,+09.772,+00.557,+00.268,+00.000721,+00.010979,+00.007075,"$VNYMR,-091.853,+086.265,-114.787,-00.2307,+00.2080,-00.5820,+09.772,+00.557,+00.268,+00.000721,+00.010979,+00.007075*6F
"
1712236681.796167,-092.159,+086.269,-115.088,-00.2275,+00.2008,-00.5764,+09.765,+00.568,+00.318,+00.001127,+00.009681,+00.008736,"$VNYMR,-092.159,+086.269,-115.088,-00.2275,+00.2008,-00.5764,+09.765,+00.568,+00.318,+00.001127,+00.009681,+00.008736*63
"
1712236681.820322,-092.470,+086.273,-115.400,-00.2331,+00.1974,-00.5754,+09.785,+00.578,+00.287,+00.000492,+00.012857,+00.007078,"$VNYMR,-092.470,+086.273,-115.400,-00.2331,+00.1974,-00.5754,+09.785,+00.578,+00.287,+00.000492,+00.012857,+00.007078*6E
"
1712236681.8486817,-092.751,+086.277,-115.680,-00.2297,+00.2021,-00.5832,+09.781,+00.554,+00.263,+00.000668,+00.011399,+00.008460,"$VNYMR,-092.751,+086.277,-115.680,-00.2297,+00.2021,-00.5832,+09.781,+00.554,+00.263,+00.000668,+00.011399,+00.008460*67
"
1712236681.8703568,-093.087,+086.282,-116.012,-00.2308,+00.2021,-00.5740,+09.792,+00.539,+00.288,+00.002043,+00.012259,+00.008401,"$VNYMR,-093.087,+086.282,-116.012,-00.2308,+00.2021,-00.5740,+09.792,+00.539,+00.288,+00.002043,+00.012259,+00.008401*6B
"
1712236681.896282,-093.415,+086.286,-116.337,-00.2328,+00.2139,-00.5769,+09.807,+00.575,+00.298,+00.001776,+00.010054,+00.008529,"$VNYMR,-093.415,+086.286,-116.337,-00.2328,+00.2139,-00.5769,+09.807,+00.575,+00.298,+00.001776,+00.010054,+00.008529*6B
"
1712236681.9248338,-093.746,+086.289,-116.660,-00.2307,+00.2080,-00.5820,+09.814,+00.563,+00.276,+00.000740,+00.010515,+00.008773,"$VNYMR,-093.746,+086.289,-116.660,-00.2307,+00.2080,-00.5820,+09.814,+00.563,+00.276,+00.000740,+00.010515,+00.008773*66
"
1712236681.9462173,-094.026,+086.293,-116.936,-00.2275,+00.1985,-00.5858,+09.788,+00.553,+00.292,+00.002485,+00.011058,+00.008486,"$VNYMR,-094.026,+086.293,-116.936,-00.2275,+00.1985,-00.5858,+09.788,+00.553,+00.292,+00.002485,+00.011058,+00.008486*6C
"
1712236681.9715803,-094.341,+086.296,-117.244,-00.2329,+00.2057,-00.5701,+09.813,+00.570,+00.273,+00.002165,+00.012481,+00.009074,"$VNYMR,-094.341,+086.296,-117.244,-00.2329,+00.2057,-00.5701,+09.813,+00.570,+00.273,+00.002165,+00.012481,+00.009074*69
"
1712236681.9990227,-094.660,+086.300,-117.556,-00.2286,+00.2020,-00.5845,+09.782,+00.560,+00.299,+00.000976,+00.012078,+00.008738,"$VNYMR,-094.660,+086.300,-117.556,-00.2286,+00.2020,-00.5845,+09.782,+00.560,+00.299,+00.000976,+00.012078,+00.008738*68
"
1712236682.0203078,-094.946,+086.305,-117.838,-00.2296,+00.2044,-00.5766,+09.798,+00.559,+00.287,+00.001490,+00.011088,+00.007379,"$VNYMR,-094.946,+086.305,-117.838,-00.2296,+00.2044,-00.5766,+09.798,+00.559,+00.287,+00.001490,+00.011088,+00.007379*66
"
1712236682.0475361,-095.262,+086.308,-118.152,-00.2295,+00.2127,-00.5807,+09.806,+00.546,+00.280,+00.002114,+00.010326,+00.008341,"$VNYMR,-095.262,+086.308,-118.152,-00.2295,+00.2127,-00.5807,+09.806,+00.546,+00.280,+00.002114,+00.010326,+00.008341*6B
"
1712236682.0711436,-095.545,+086.312,-118.434,-00.2307,+00.2080,-00.5874,+09.796,+00.550,+00.306,+00.001170,+00.010270,+00.007487,"$VNYMR,-095.545,+086.312,-118.434,-00.2307,+00.2080,-00.5874,+09.796,+00.550,+00.306,+00.001170,+00.010270,+00.007487*6A
"
1712236682.0986304,-095.855,+086.313,-118.741,-00.2286,+00.2020,-00.5859,+09.783,+00.565,+00.269,+00.001819,+00.011045,+00.008094,"$VNYMR,-095.855,+086.313,-118.741,-00.2286,+00.2020,-00.5859,+09.783,+00.565,+00.269,+00.001819,+00.011045,+00.008094*6B
"
