Timestamp,Orientation X,Orientation Y,Orientation Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Raw IMU Data String
1710358267.7296948,85.851,-2.753,-0.285,0.1146,-0.1351,0.9184,-0.562,-1.459,-10.392,-0.108057,-0.00295,-0.058729,"$VNYMR,+085.851,-002.753,-000.285,+00.1146,-00.1351,+00.9184,-00.562,-01.459,-10.392,-00.108057,-00.002950,-00.058729*60"
1710358267.7550976,85.56,-2.655,-0.445,0.1136,-0.1361,0.9209,-0.529,-1.025,-9.765,-0.130192,0.095726,-0.278132,"$VNYMR,+085.560,-002.655,-000.445,+00.1136,-00.1361,+00.9209,-00.529,-01.025,-09.765,-00.130192,+00.095726,-00.278132*6C"
1710358267.7896821,85.069,-2.506,-0.715,0.1146,-0.1384,0.921,-0.12,0.31,-10.177,-0.230026,0.133612,-0.312863,"$VNYMR,+085.069,-002.506,-000.715,+00.1146,-00.1384,+00.9210,-00.120,+00.310,-10.177,-00.230026,+00.133612,-00.312863*63"
1710358267.8062127,84.679,-2.269,-1.017,0.1156,-0.1395,0.9198,-0.17,-0.007,-10.527,-0.23323,0.227569,-0.253426,"$VNYMR,+084.679,-002.269,-001.017,+00.1156,-00.1395,+00.9198,-00.170,-00.007,-10.527,-00.233230,+00.227569,-00.253426*6C"
1710358267.8326821,84.289,-1.894,-1.386,0.1144,-0.1439,0.9172,0.195,0.344,-9.683,-0.253967,0.259796,-0.246871,"$VNYMR,+084.289,-001.894,-001.386,+00.1144,-00.1439,+00.9172,+00.195,+00.344,-09.683,-00.253967,+00.259796,-00.246871*65"
1710358267.8599591,84.032,-1.597,-1.653,0.1123,-0.1428,0.9158,0.388,0.858,-9.49,-0.173827,0.187807,-0.101718,"$VNYMR,+084.032,-001.597,-001.653,+00.1123,-00.1428,+00.9158,+00.388,+00.858,-09.490,-00.173827,+00.187807,-00.101718*66"
1710358267.8843777,83.961,-1.331,-1.853,0.1082,-0.1416,0.9143,0.142,-0.077,-9.722,-0.098071,0.184633,-0.026859,"$VNYMR,+083.961,-001.331,-001.853,+00.1082,-00.1416,+00.9143,+00.142,-00.077,-09.722,-00.098071,+00.184633,-00.026859*61"
1710358267.909583,83.872,-1.125,-1.972,0.106,-0.1449,0.913,0.249,0.564,-9.397,-0.05954,0.119745,-0.036319,"$VNYMR,+083.872,-001.125,-001.972,+00.1060,-00.1449,+00.9130,+00.249,+00.564,-09.397,-00.059540,+00.119745,-00.036319*66"
1710358267.9353313,83.866,-1.042,-2.011,0.108,-0.1494,0.9208,0.064,0.149,-9.571,0.01553,0.029787,-0.015799,"$VNYMR,+083.866,-001.042,-002.011,+00.1080,-00.1494,+00.9208,+00.064,+00.149,-09.571,+00.015530,+00.029787,-00.015799*6A"
1710358267.960437,83.797,-1.031,-1.935,0.1051,-0.1404,0.9167,0.211,0.423,-9.554,0.027254,-0.002104,-0.05038,"$VNYMR,+083.797,-001.031,-001.935,+00.1051,-00.1404,+00.9167,+00.211,+00.423,-09.554,+00.027254,-00.002104,-00.050380*69"
1710358267.9865305,83.754,-1.072,-1.865,0.1072,-0.1383,0.9117,-0.008,-0.082,-10.154,0.057632,-0.03108,-0.054451,"$VNYMR,+083.754,-001.072,-001.865,+00.1072,-00.1383,+00.9117,-00.008,-00.082,-10.154,+00.057632,-00.031080,-00.054451*63"
1710358268.0124834,83.661,-1.006,-1.853,0.1092,-0.1461,0.9195,0.148,0.552,-10.347,-0.015563,0.092787,-0.058983,"$VNYMR,+083.661,-001.006,-001.853,+00.1092,-00.1461,+00.9195,+00.148,+00.552,-10.347,-00.015563,+00.092787,-00.058983*66"
1710358268.0379708,83.578,-0.813,-1.841,0.106,-0.1471,0.9181,0.613,1.171,-9.841,0.038085,0.133019,-0.054126,"$VNYMR,+083.578,-000.813,-001.841,+00.1060,-00.1471,+00.9181,+00.613,+01.171,-09.841,+00.038085,+00.133019,-00.054126*67"
1710358268.0638852,83.673,-0.701,-1.788,0.1051,-0.1415,0.9167,0.813,1.505,-9.676,0.003686,0.02514,0.150792,"$VNYMR,+083.673,-000.701,-001.788,+00.1051,-00.1415,+00.9167,+00.813,+01.505,-09.676,+00.003686,+00.025140,+00.150792*6E"
1710358268.089496,83.916,-0.595,-1.79,0.104,-0.1449,0.918,0.401,-0.391,-10.059,-0.023559,0.091206,0.110642,"$VNYMR,+083.916,-000.595,-001.790,+00.1040,-00.1449,+00.9180,+00.401,-00.391,-10.059,-00.023559,+00.091206,+00.110642*67"
1710358268.116125,83.933,-0.424,-1.861,0.103,-0.1437,0.9205,0.818,0.702,-9.055,-0.057268,0.102491,-0.004057,"$VNYMR,+083.933,-000.424,-001.861,+00.1030,-00.1437,+00.9205,+00.818,+00.702,-09.055,-00.057268,+00.102491,-00.004057*67"
1710358268.15266,83.914,-0.383,-1.927,0.1008,-0.1459,0.9191,1.082,0.774,-9.029,-0.043944,-0.040363,-0.021639,"$VNYMR,+083.914,-000.383,-001.927,+00.1008,-00.1459,+00.9191,+01.082,+00.774,-09.029,-00.043944,-00.040363,-00.021639*64"
1710358268.1671436,83.99,-0.537,-1.943,0.1042,-0.1338,0.909,1.318,1.683,-9.725,0.025874,-0.161377,0.106588,"$VNYMR,+083.990,-000.537,-001.943,+00.1042,-00.1338,+00.9090,+01.318,+01.683,-09.725,+00.025874,-00.161377,+00.106588*66"
1710358268.1933804,84.212,-0.764,-1.939,0.106,-0.1471,0.9207,1.089,0.602,-10.443,-0.005762,-0.169535,0.13939,"$VNYMR,+084.212,-000.764,-001.939,+00.1060,-00.1471,+00.9207,+01.089,+00.602,-10.443,-00.005762,-00.169535,+00.139390*60"
1710358268.219619,84.377,-0.891,-2.027,0.107,-0.1482,0.9169,1.288,0.669,-10.805,-0.11432,-0.032102,0.060189,"$VNYMR,+084.377,-000.891,-002.027,+00.1070,-00.1482,+00.9169,+01.288,+00.669,-10.805,-00.114320,-00.032102,+00.060189*6F"
1710358268.2457128,84.602,-0.897,-2.182,0.1049,-0.1471,0.9155,1.317,1.483,-9.764,-0.11233,-0.005,0.233344,"$VNYMR,+084.602,-000.897,-002.182,+00.1049,-00.1471,+00.9155,+01.317,+01.483,-09.764,-00.112330,-00.005000,+00.233344*6E"
1710358268.2716722,84.98,-0.875,-2.33,0.1039,-0.1493,0.9155,0.908,-0.511,-9.221,-0.125999,-0.005526,0.254292,"$VNYMR,+084.980,-000.875,-002.330,+00.1039,-00.1493,+00.9155,+00.908,-00.511,-09.221,-00.125999,-00.005526,+00.254292*6C"
1710358268.2971604,85.098,-0.866,-2.538,0.0998,-0.1437,0.914,1.04,-0.317,-8.965,-0.135049,-0.015478,0.001213,"$VNYMR,+085.098,-000.866,-002.538,+00.0998,-00.1437,+00.9140,+01.040,-00.317,-08.965,-00.135049,-00.015478,+00.001213*63"
1710358268.3251255,85.166,-0.99,-2.65,0.1037,-0.1537,0.9143,1.29,1.87,-8.945,-0.025028,-0.136381,0.140884,"$VNYMR,+085.166,-000.990,-002.650,+00.1037,-00.1537,+00.9143,+01.290,+01.870,-08.945,-00.025028,-00.136381,+00.140884*6F"
1710358268.3494763,85.415,-1.157,-2.608,0.1027,-0.1526,0.9142,0.97,-0.203,-9.888,0.04584,-0.086561,0.124856,"$VNYMR,+085.415,-001.157,-002.608,+00.1027,-00.1526,+00.9142,+00.970,-00.203,-09.888,+00.045840,-00.086561,+00.124856*64"
1710358268.3762147,85.484,-1.219,-2.629,0.1038,-0.1515,0.9143,1.311,1.286,-9.431,-0.038067,-0.032393,0.045293,"$VNYMR,+085.484,-001.219,-002.629,+00.1038,-00.1515,+00.9143,+01.311,+01.286,-09.431,-00.038067,-00.032393,+00.045293*61"
1710358268.4016857,85.605,-1.366,-2.576,0.1048,-0.1515,0.9156,1.309,1.395,-9.269,0.083232,-0.186791,0.106273,"$VNYMR,+085.605,-001.366,-002.576,+00.1048,-00.1515,+00.9156,+01.309,+01.395,-09.269,+00.083232,-00.186791,+00.106273*6C"
1710358268.4292486,85.767,-1.625,-2.388,0.1068,-0.1549,0.9132,0.977,0.415,-10.474,0.150593,-0.11559,0.033003,"$VNYMR,+085.767,-001.625,-002.388,+00.1068,-00.1549,+00.9132,+00.977,+00.415,-10.474,+00.150593,-00.115590,+00.033003*63"
1710358268.4518228,85.736,-1.803,-2.17,0.1072,-0.1416,0.9156,0.584,0.454,-10.358,0.134472,-0.098805,-0.068648,"$VNYMR,+085.736,-001.803,-002.170,+00.1072,-00.1416,+00.9156,+00.584,+00.454,-10.358,+00.134472,-00.098805,-00.068648*6E"
1710358268.4777484,85.684,-1.856,-1.952,0.1103,-0.1383,0.9055,0.694,0.583,-10.447,0.146671,-0.006602,-0.008621,"$VNYMR,+085.684,-001.856,-001.952,+00.1103,-00.1383,+00.9055,+00.694,+00.583,-10.447,+00.146671,-00.006602,-00.008621*60"
1710358268.50297,85.597,-1.779,-1.793,0.1101,-0.1483,0.9171,0.473,-0.406,-9.946,0.129412,0.087172,-0.076638,"$VNYMR,+085.597,-001.779,-001.793,+00.1101,-00.1483,+00.9171,+00.473,-00.406,-09.946,+00.129412,+00.087172,-00.076638*67"
1710358268.5295281,85.153,-1.74,-1.543,0.1113,-0.145,0.9209,1.226,0.779,-10.181,0.236062,-0.007981,-0.373192,"$VNYMR,+085.153,-001.740,-001.543,+00.1113,-00.1450,+00.9209,+01.226,+00.779,-10.181,+00.236062,-00.007981,-00.373192*6B"
1710358268.5547934,84.675,-1.752,-1.116,0.1134,-0.1428,0.9222,1.039,1.185,-11.27,0.280617,0.036491,-0.288526,"$VNYMR,+084.675,-001.752,-001.116,+00.1134,-00.1428,+00.9222,+01.039,+01.185,-11.270,+00.280617,+00.036491,-00.288526*66"
1710358268.5804684,84.349,-1.613,-0.741,0.1125,-0.1395,0.9209,0.455,0.036,-11.612,0.227464,0.110419,-0.204943,"$VNYMR,+084.349,-001.613,-000.741,+00.1125,-00.1395,+00.9209,+00.455,+00.036,-11.612,+00.227464,+00.110419,-00.204943*67"
