Timestamp,Orientation X,Orientation Y,Orientation Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Raw IMU Data String
1710358846.2119186,-129.177,4.169,2.431,0.021,0.2865,0.8995,0.438,0.045,-9.876,-0.019186,0.026091,-4e-06,"$VNYMR,-129.177,+004.169,+002.431,+00.0210,+00.2865,+00.8995,+00.438,+00.045,-09.876,-00.019186,+00.026091,-00.000004*6D"
1710358846.2378109,-129.215,4.179,2.434,0.0224,0.2987,0.9032,0.444,-0.065,-9.646,0.022086,-0.006762,-0.04086,"$VNYMR,-129.215,+004.179,+002.434,+00.0224,+00.2987,+00.9032,+00.444,-00.065,-09.646,+00.022086,-00.006762,-00.040860*6D"
1710358846.2631166,-129.308,4.11,2.471,0.0221,0.2887,0.9033,0.484,0.227,-9.625,0.015275,-0.064996,-0.04748,"$VNYMR,-129.308,+004.110,+002.471,+00.0221,+00.2887,+00.9033,+00.484,+00.227,-09.625,+00.015275,-00.064996,-00.047480*6E"
1710358846.288797,-129.369,4.046,2.413,0.02,0.2898,0.8981,0.505,0.109,-10.11,-0.04381,-0.027171,-0.041731,"$VNYMR,-129.369,+004.046,+002.413,+00.0200,+00.2898,+00.8981,+00.505,+00.109,-10.110,-00.043810,-00.027171,-00.041731*68"
1710358846.3145761,-129.433,4.012,2.403,0.0231,0.2864,0.9009,0.429,0.264,-10.176,0.013396,-0.022624,-0.053478,"$VNYMR,-129.433,+004.012,+002.403,+00.0231,+00.2864,+00.9009,+00.429,+00.264,-10.176,+00.013396,-00.022624,-00.053478*67"
1710358846.3407867,-129.433,4.056,2.436,0.0252,0.2886,0.8971,0.538,0.154,-9.795,0.02021,0.047934,0.021814,"$VNYMR,-129.433,+004.056,+002.436,+00.0252,+00.2886,+00.8971,+00.538,+00.154,-09.795,+00.020210,+00.047934,+00.021814*6C"
1710358846.3668141,-129.402,4.115,2.433,0.0252,0.2875,0.9022,0.528,0.029,-9.786,-0.02957,0.054667,0.02046,"$VNYMR,-129.402,+004.115,+002.433,+00.0252,+00.2875,+00.9022,+00.528,+00.029,-09.786,-00.029570,+00.054667,+00.020460*6C"
1710358846.3928845,-129.394,4.145,2.439,0.022,0.2831,0.9034,0.731,0.026,-9.378,0.016914,-0.015405,0.012697,"$VNYMR,-129.394,+004.145,+002.439,+00.0220,+00.2831,+00.9034,+00.731,+00.026,-09.378,+00.016914,-00.015405,+00.012697*63"
1710358846.4186177,-129.394,4.053,2.524,0.0244,0.2953,0.9033,0.653,0.085,-9.899,0.074626,-0.082133,0.008143,"$VNYMR,-129.394,+004.053,+002.524,+00.0244,+00.2953,+00.9033,+00.653,+00.085,-09.899,+00.074626,-00.082133,+00.008143*61"
1710358846.4446363,-129.385,4.019,2.536,0.0222,0.2931,0.8969,0.645,0.205,-10.336,-0.032001,0.02989,0.024306,"$VNYMR,-129.385,+004.019,+002.536,+00.0222,+00.2931,+00.8969,+00.645,+00.205,-10.336,-00.032001,+00.029890,+00.024306*69"
