Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1711483802.2307956,1,1711483802,0,GPS1_Frame,42.33693333333334,-71.08962166666667,14.1,327854.8215116289,4689301.315936212,19,T,1.5,"b'$GPGGA,201002.000,4220.2160,N,07105.3773,W,2,07,1.5,14.1,M,-33.8,M,9.0,0000*7B\r\n'"
1711483803.229385,2,1711483803,0,GPS1_Frame,42.336935,-71.08961333333333,13.9,327855.5125967798,4689301.484136159,19,T,1.5,"b'$GPGGA,201003.000,4220.2161,N,07105.3768,W,2,07,1.5,13.9,M,-33.8,M,10.0,0000*46\r\n'"
1711483804.230166,3,1711483804,0,GPS1_Frame,42.33694333333333,-71.08959499999999,13.6,327857.0457178201,4689302.372374046,19,T,1.5,"b'$GPGGA,201004.000,4220.2166,N,07105.3757,W,2,07,1.5,13.6,M,-33.8,M,11.0,0000*44\r\n'"
1711483805.2305224,4,1711483805,0,GPS1_Frame,42.33695833333333,-71.08957333333333,13.3,327858.87164432555,4689303.99414665,19,T,1.5,"b'$GPGGA,201005.000,4220.2175,N,07105.3744,W,2,07,1.5,13.3,M,-33.8,M,12.0,0000*43\r\n'"
1711483806.2318594,5,1711483806,0,GPS1_Frame,42.33698166666667,-71.08954999999999,13.0,327860.8576158961,4689306.537898837,19,T,1.5,"b'$GPGGA,201006.000,4220.2189,N,07105.3730,W,2,07,1.5,13.0,M,-33.8,M,13.0,0000*42\r\n'"
1711483807.2247975,6,1711483807,0,GPS1_Frame,42.33700833333334,-71.08953,12.9,327862.578066789,4689309.458540806,19,T,1.5,"b'$GPGGA,201007.000,4220.2205,N,07105.3718,W,2,07,1.5,12.9,M,-33.8,M,14.0,0000*41\r\n'"
1711483808.2275422,7,1711483808,0,GPS1_Frame,42.337039999999995,-71.08951333333333,12.7,327864.0375447379,4689312.941142998,19,T,1.5,"b'$GPGGA,201008.000,4220.2224,N,07105.3708,W,2,07,1.5,12.7,M,-33.8,M,15.0,0000*43\r\n'"
1711483809.2309568,8,1711483809,0,GPS1_Frame,42.337075000000006,-71.08950333333334,12.5,327864.95688794553,4689316.807382534,19,T,1.5,"b'$GPGGA,201009.000,4220.2245,N,07105.3702,W,2,07,1.5,12.5,M,-33.8,M,16.0,0000*4E\r\n'"
1711483810.238047,9,1711483810,0,GPS1_Frame,42.33711166666667,-71.08950166666666,12.3,327865.19424253737,4689320.875562541,19,T,1.5,"b'$GPGGA,201010.000,4220.2267,N,07105.3701,W,2,07,1.5,12.3,M,-33.8,M,17.0,0000*42\r\n'"
1711483811.2500834,10,1711483811,0,GPS1_Frame,42.33715,-71.08950833333333,12.1,327864.7496097064,4689325.145682989,19,T,1.5,"b'$GPGGA,201011.000,4220.2290,N,07105.3705,W,2,07,1.5,12.1,M,-33.8,M,18.0,0000*42\r\n'"
