Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1711483462.2397509,1,1711483462,0,GPS1_Frame,42.336928333333326,-71.089625,11.1,327854.5332531112,4689300.76747261,19,T,1.5,"b'$GPGGA,200422.000,4220.2157,N,07105.3775,W,2,07,1.5,11.1,M,-33.8,M,5.0,0000*77\r\n'"
1711483463.2347784,2,1711483463,0,GPS1_Frame,42.336936666666666,-71.08961166666667,11.1,327855.65445207164,4689301.665832662,19,T,1.5,"b'$GPGGA,200423.000,4220.2162,N,07105.3767,W,2,07,1.5,11.1,M,-33.8,M,6.0,0000*70\r\n'"
1711483464.2485628,3,1711483464,0,GPS1_Frame,42.33694833333334,-71.08959333333334,11.0,327857.1966686518,4689302.924211843,19,T,1.5,"b'$GPGGA,200424.000,4220.2169,N,07105.3756,W,2,07,1.5,11.0,M,-33.8,M,7.0,0000*7E\r\n'"
1711483465.2498443,4,1711483465,0,GPS1_Frame,42.33696666666666,-71.08957166666667,11.1,327859.0316904909,4689304.916125743,19,T,1.5,"b'$GPGGA,200425.000,4220.2180,N,07105.3743,W,2,07,1.5,11.1,M,-33.8,M,8.0,0000*72\r\n'"
1711483466.2348907,5,1711483466,0,GPS1_Frame,42.33698666666666,-71.08955166666667,11.2,327860.7339516716,4689307.096484762,19,T,1.5,"b'$GPGGA,200426.000,4220.2192,N,07105.3731,W,2,07,1.5,11.2,M,-33.8,M,9.0,0000*75\r\n'"
1711483467.2362142,6,1711483467,0,GPS1_Frame,42.33700999999999,-71.089535,11.2,327862.1706925725,4689309.653733436,19,T,1.5,"b'$GPGGA,200427.000,4220.2206,N,07105.3721,W,2,07,1.5,11.2,M,-33.8,M,10.0,0000*43\r\n'"
1711483468.2374241,7,1711483468,0,GPS1_Frame,42.337035,-71.08952333333333,11.3,327863.20005840814,4689312.406174966,19,T,1.5,"b'$GPGGA,200428.000,4220.2221,N,07105.3714,W,2,07,1.5,11.3,M,-33.8,M,11.0,0000*4F\r\n'"
1711483469.2373264,8,1711483469,0,GPS1_Frame,42.337061666666656,-71.08951666666667,11.3,327863.8220495976,4689315.353809177,19,T,1.5,"b'$GPGGA,200429.000,4220.2237,N,07105.3710,W,2,07,1.5,11.3,M,-33.8,M,12.0,0000*4E\r\n'"
1711483470.2380984,9,1711483470,0,GPS1_Frame,42.337086666666664,-71.08951666666667,11.4,327863.8902642252,4689318.12986869,19,T,1.5,"b'$GPGGA,200430.000,4220.2252,N,07105.3710,W,2,07,1.5,11.4,M,-33.8,M,13.0,0000*43\r\n'"
1711483471.2368515,10,1711483471,0,GPS1_Frame,42.33711166666667,-71.08952333333333,11.5,327863.40925059724,4689320.919424139,19,T,1.5,"b'$GPGGA,200431.000,4220.2267,N,07105.3714,W,2,07,1.5,11.5,M,-33.8,M,14.0,0000*46\r\n'"
1711483472.267602,11,1711483472,0,GPS1_Frame,42.337135,-71.08953666666666,11.6,327862.3744616717,4689323.537405016,19,T,1.5,"b'$GPGGA,200432.000,4220.2281,N,07105.3722,W,2,07,1.5,11.6,M,-33.8,M,15.0,0000*4A\r\n'"
1711483473.2366765,12,1711483473,0,GPS1_Frame,42.337155,-71.08955666666667,11.7,327860.7813502321,4689325.7987409495,19,T,1.5,"b'$GPGGA,200433.000,4220.2293,N,07105.3734,W,2,07,1.5,11.7,M,-33.8,M,16.0,0000*4D\r\n'"
1711483474.2377105,13,1711483474,0,GPS1_Frame,42.33717333333334,-71.08958333333334,11.7,327858.63446432096,4689327.88850296,19,T,1.5,"b'$GPGGA,200434.000,4220.2304,N,07105.3750,W,2,07,1.5,11.7,M,-33.8,M,17.0,0000*46\r\n'"
1711483475.2427728,14,1711483475,0,GPS1_Frame,42.33718666666667,-71.08961500000001,11.8,327856.06201540946,4689329.433176153,19,T,1.5,"b'$GPGGA,200435.000,4220.2312,N,07105.3769,W,2,07,1.5,11.8,M,-33.8,M,2.0,0000*71\r\n'"
1711483476.2414985,15,1711483476,0,GPS1_Frame,42.33719333333333,-71.08964999999999,11.8,327853.1967620694,4689330.244316149,19,T,1.5,"b'$GPGGA,200436.000,4220.2316,N,07105.3790,W,2,07,1.5,11.8,M,-33.8,M,3.0,0000*71\r\n'"
1711483477.2515638,16,1711483477,0,GPS1_Frame,42.33719333333333,-71.08968666666667,11.9,327850.1760103654,4689330.3185490295,19,T,1.5,"b'$GPGGA,200437.000,4220.2316,N,07105.3812,W,2,07,1.5,11.9,M,-33.8,M,4.0,0000*73\r\n'"
1711483478.2586193,17,1711483478,0,GPS1_Frame,42.33718666666667,-71.08972166666668,11.9,327847.2743731536,4689329.649126345,19,T,1.5,"b'$GPGGA,200438.000,4220.2312,N,07105.3833,W,2,07,1.5,11.9,M,-33.8,M,5.0,0000*7A\r\n'"
1711483479.2381685,18,1711483479,0,GPS1_Frame,42.33717333333334,-71.08975333333333,11.8,327844.6291565135,4689328.232673564,19,T,1.5,"b'$GPGGA,200439.000,4220.2304,N,07105.3852,W,2,07,1.5,11.8,M,-33.8,M,6.0,0000*79\r\n'"
