Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,vnymr_read
1711483461.5235565,1,1711483461,504337072,imu1_frame,0,0,0,imu1_frame,-0.008182972312135547,0.001990019771166232,-0.9149762483304161,0.4034198108380969,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.007393,-0.001693,-0.249232,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.324,-0.406,-9.681,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.85e-05,4.03e-06,1.417e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-132.410,-000.766,-000.587,+00.1850,+00.0403,+00.1417,+00.324,-00.406,-09.681,-00.007393,-00.001693,-00.249232*60\r\n'"
1711483461.533445,2,1711483461,532780647,imu1_frame,0,0,0,imu1_frame,-0.008227196505707881,0.002022009425785481,-0.9162283940305159,0.4005667917935784,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.006919,-0.000191,-0.252795,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.387,-0.363,-9.671,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.8959999999999998e-05,3.5299999999999997e-06,1.3800000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-132.767,-000.771,-000.590,+00.1896,+00.0353,+00.1380,+00.387,-00.363,-09.671,-00.006919,-00.000191,-00.252795*6F\r\n'"
1711483461.571779,3,1711483461,571023702,imu1_frame,0,0,0,imu1_frame,-0.008257620754749829,0.002089015173359781,-0.9174855784187054,0.3976778358279093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.008395,-0.000184,-0.257099,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.355,-0.494,-9.705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.908e-05,4.3700000000000005e-06,1.366e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-133.128,-000.773,-000.596,+00.1908,+00.0437,+00.1366,+00.355,-00.494,-09.705,-00.008395,-00.000184,-00.257099*64\r\n'"
1711483461.587006,4,1711483461,586170196,imu1_frame,0,0,0,imu1_frame,-0.008301446466411955,0.0021884469992906512,-0.9187404659317312,0.3947686068393005,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012895,0.001552,-0.255717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.301,-0.445,-9.708,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.943e-05,3.76e-06,1.3420000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-133.491,-000.775,-000.606,+00.1943,+00.0376,+00.1342,+00.301,-00.445,-09.708,-00.012895,+00.001552,-00.255717*6F\r\n'"
1711483461.6055758,5,1711483461,605182886,imu1_frame,0,0,0,imu1_frame,-0.00837093892288909,0.0023057867747307515,-0.9200030873347771,0.3918149180715009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.014561,-0.000155,-0.260054,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.306,-0.405,-9.588,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.932e-05,4.12e-06,1.3800000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-133.859,-000.779,-000.619,+00.1932,+00.0412,+00.1380,+00.306,-00.405,-09.588,-00.014561,-00.000155,-00.260054*63\r\n'"
1711483461.6310678,6,1711483461,630028963,imu1_frame,0,0,0,imu1_frame,-0.00846597846374059,0.0024410725924207655,-0.9212628534999457,0.38884074263686336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016325,-0.002159,-0.260903,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.261,-0.347,-9.595,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.943e-05,4.12e-06,1.3420000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-134.229,-000.785,-000.635,+00.1943,+00.0412,+00.1342,+00.261,-00.347,-09.595,-00.016325,-00.002159,-00.260903*60\r\n'"
1711483461.6562614,7,1711483461,655889511,imu1_frame,0,0,0,imu1_frame,-0.008571580142988186,0.002581901873309172,-0.9225230325273507,0.38583819957737403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016074,-0.001915,-0.261966,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.205,-0.193,-9.582,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.967e-05,4.72e-06,1.303e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-134.602,-000.792,-000.652,+00.1967,+00.0472,+00.1303,+00.205,-00.193,-09.582,-00.016074,-00.001915,-00.261966*66\r\n'"
1711483461.6816661,8,1711483461,681115150,imu1_frame,0,0,0,imu1_frame,-0.008663499949400978,0.0027384143866048165,-0.923783480592995,0.3828074265721154,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.015923,-0.001645,-0.266437,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.243,-0.161,-9.596,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.873e-05,3.55e-06,1.09e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-134.978,-000.797,-000.670,+00.1873,+00.0355,+00.1090,+00.243,-00.161,-09.596,-00.015923,-00.001645,-00.266437*68\r\n'"
1711483461.710888,9,1711483461,710555791,imu1_frame,0,0,0,imu1_frame,-0.008747830107198592,0.0028794878516288937,-0.9250373168062618,0.37976459357607273,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016066,0.000842,-0.26736,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.323,-0.146,-9.61,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.9659999999999998e-05,3.2800000000000004e-06,1.278e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-135.355,-000.802,-000.686,+00.1966,+00.0328,+00.1278,+00.323,-00.146,-09.610,-00.016066,+00.000842,-00.267360*63\r\n'"
1711483461.7343066,10,1711483461,733723878,imu1_frame,0,0,0,imu1_frame,-0.008784255190176837,0.0030216487120208997,-0.9262912131607138,0.37669390082807014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012257,0.001357,-0.267787,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.307,-0.221,-9.607,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,imu1_frame,1.989e-05,3.51e-06,1.2790000000000001e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-135.735,-000.802,-000.700,+00.1989,+00.0351,+00.1279,+00.307,-00.221,-09.607,-00.012257,+00.001357,-00.267787*65\r\n'"
